ID,INCIDENT,PENALTY,VICTIM,SCORE,LOCATION,COUNTRY,DATE,WHEN,MOON_NIGHT_BEFORE
60,not bite,yellow card,spectator,Winning,off field,Uruguay,5/12/1997,16,Half
61,not bite,Suspended for several games,spectator,Winning,off field,Uruguay,4/21/1994,72,Half
62,bite,Not Caught,referee,Losing,midfield,England,2/2/2011,88,No Moon
63,bite,Yellow card,defender,Draw at a time,midfield,England,9/10/2013,42,Full
64,not bite,Suspended for several games,goalkeeper,Winning,opponent team penalty area,Uruguay,2/20/2002,22,Half
65,not bite,yellow card,spectator,Winning,off field,Uruguay,7/19/1996,60,No Moon
66,bite,Red Card,journalist,Losing,off field,Uruguay,11/20/1994,84,Full
67,not bite,None,None,Winning,No location,Netherlands,12/21/2009,91,No Moon
68,not bite,Yellow card,goalkeeper,Winning,his team penalty area,Uruguay,3/30/2005,63,Full
69,not bite,None,None,Winning,No location,Uruguay,7/10/1995,91,Half
70,bite,Not Caught,spectator,Losing,off field,Netherlands,3/1/2012,60,Full
71,bite,Suspended for several games,goalkeeper,Losing,off field,Uruguay,11/24/1993,21,Full
72,not bite,Suspended for several games,referee,Draw at a time,midfield,Uruguay,10/22/1996,13,No Moon
73,bite,None,None,Losing,midfield,Uruguay,3/17/2004,91,Half
74,not bite,Not Caught,spectator,Draw at a time,off field,Netherlands,5/24/2012,29,No Moon
75,not bite,Yellow card,defender,Draw at a time,his team penalty area,Uruguay,4/25/1995,53,Half
76,not bite,Yellow card,spectator,Draw at a time,off field,England,12/9/2013,89,No Moon
77,bite,Suspended for several games,spectator,Losing,off field,England,11/21/2012,45,Full
78,not bite,Not Caught,midfielder,Losing,opponent team penalty area,Netherlands,12/5/2011,84,No Moon
79,not bite,yellow card,goalkeeper,Winning,off field,Uruguay,1/31/1998,59,Half
80,not bite,None,None,Winning,No location,Netherlands,10/1/2009,91,No Moon
81,bite,yellow card,forward,Losing,his team penalty area,Uruguay,2/19/1994,60,Half
82,bite,Suspended for several games,defender,Draw at a time,opponent team penalty area,Uruguay,3/27/2013,38,Half
83,bite,None,journalist,Losing,off field,Uruguay,12/20/1998,41,Half
84,bite,Yellow card,journalist,Losing,off field,Uruguay,11/13/1992,53,Half
85,bite,Suspended for several games,spectator,Losing,off field,Uruguay,7/1/2003,2,Half
86,not bite,None,None,Winning,No location,Netherlands,4/15/2012,91,No Moon
87,bite,Red Card,spectator,Losing,off field,Netherlands,2/17/2011,64,Half
88,not bite,None,None,Draw at a time,his team penalty area,Uruguay,9/5/2005,49,No Moon
89,not bite,Not Caught,referee,Winning,midfield,Uruguay,7/31/1994,78,No Moon
90,not bite,Yellow card,defender,Winning,midfield,Uruguay,6/18/1993,20,No Moon
91,bite,None,forward,Losing,his team penalty area,Uruguay,7/11/1997,8,Half
92,not bite,Yellow card,forward,Draw at a time,midfield,Uruguay,6/28/1996,51,Half
93,not bite,yellow card,forward,Draw at a time,midfield,Uruguay,11/21/1997,51,No Moon
94,bite,yellow card,referee,Losing,opponent team penalty area,Uruguay,1/12/2000,3,Half
95,not bite,Suspended for several games,referee,Draw at a time,off field,Uruguay,7/12/2004,9,No Moon
96,not bite,None,forward,Draw at a time,opponent team penalty area,Uruguay,6/17/2002,36,No Moon
97,not bite,Suspended for several games,goalkeeper,Winning,off field,Netherlands,12/23/2006,36,No Moon
98,bite,Suspended for several games,goalkeeper,Losing,opponent team penalty area,Netherlands,4/7/2011,88,Half
99,not bite,None,defender,Winning,off field,Uruguay,7/26/1992,19,Full
100,not bite,Yellow card,midfielder,Draw at a time,opponent team penalty area,Netherlands,10/3/2013,44,Half
101,bite,yellow card,goalkeeper,Losing,midfield,Uruguay,1/18/1994,28,Full
102,not bite,yellow card,journalist,Losing,his team penalty area,Uruguay,1/21/2007,21,Full
103,not bite,None,None,Winning,No location,Uruguay,5/25/1998,91,Half
104,not bite,Not Caught,midfielder,Winning,midfield,Netherlands,8/16/2009,57,Full
105,not bite,Suspended for several games,midfielder,Winning,his team penalty area,Uruguay,9/9/1995,81,No Moon
106,bite,Not Caught,forward,Losing,his team penalty area,Uruguay,6/24/2013,4,Full
107,bite,Yellow card,midfielder,Losing,No location,England,4/26/2014,82,No Moon
108,not bite,Yellow card,forward,Draw at a time,off field,Uruguay,6/11/1994,89,Half
109,not bite,None,journalist,Winning,off field,Netherlands,8/25/2011,90,Full
110,not bite,Yellow card,forward,Winning,his team penalty area,Uruguay,6/13/1995,20,No Moon
111,bite,Not Caught,spectator,Draw at a time,off field,Uruguay,5/16/2005,40,Full
112,not bite,None,None,Winning,No location,Uruguay,3/24/2000,91,No Moon
113,bite,Yellow card,defender,Draw at a time,midfield,Uruguay,1/5/2005,42,Full
114,not bite,Red Card,referee,Winning,midfield,Uruguay,2/13/2005,88,No Moon
115,bite,None,referee,Losing,off field,Netherlands,7/26/2009,85,Full
116,bite,Suspended for several games,defender,Losing,opponent team penalty area,Uruguay,11/20/1994,30,Full
117,not bite,Red Card,referee,Winning,his team penalty area,Uruguay,2/21/1996,49,No Moon
118,not bite,Red Card,midfielder,Winning,opponent team penalty area,Uruguay,9/30/1997,76,Full
119,not bite,yellow card,referee,Draw at a time,midfield,Uruguay,10/28/2001,74,Half
120,not bite,Red Card,spectator,Winning,off field,Uruguay,5/31/2004,42,Half
121,bite,Suspended for several games,spectator,Losing,off field,Uruguay,10/25/1993,20,Full
122,bite,yellow card,referee,Losing,opponent team penalty area,Netherlands,1/7/2009,19,Full
123,not bite,Not Caught,referee,Draw at a time,opponent team penalty area,Uruguay,4/23/2003,5,No Moon
124,not bite,Red Card,spectator,Draw at a time,off field,Uruguay,6/14/1992,10,No Moon
125,bite,Red Card,midfielder,Losing,his team penalty area,Uruguay,9/28/1997,29,Full
126,bite,Not Caught,None,Losing,off field,Uruguay,11/27/2005,70,Half
127,bite,Not Caught,journalist,Losing,off field,Uruguay,8/1/1999,50,Full
128,not bite,yellow card,midfielder,Winning,his team penalty area,Netherlands,5/6/2012,47,Half
129,not bite,Yellow card,referee,Losing,opponent team penalty area,Uruguay,9/3/1999,46,No Moon
130,bite,Suspended for several games,journalist,Draw at a time,off field,Uruguay,3/5/1998,5,Full
131,not bite,None,None,Winning,No location,Netherlands,4/8/2007,91,No Moon
132,not bite,yellow card,defender,Draw at a time,opponent team penalty area,Uruguay,4/29/2014,71,No Moon
133,not bite,None,None,Winning,off field,Uruguay,11/22/2000,2,No Moon
134,not bite,Yellow card,referee,Draw at a time,off field,Uruguay,2/13/1995,58,No Moon
135,not bite,Not Caught,None,Draw at a time,midfield,Netherlands,2/9/2010,50,Half
136,not bite,None,None,Winning,No location,Netherlands,3/14/2009,91,No Moon
137,not bite,Not Caught,spectator,Losing,off field,Netherlands,9/29/2009,40,No Moon
138,not bite,Suspended for several games,referee,Draw at a time,his team penalty area,Netherlands,3/2/2009,70,Full
139,not bite,None,defender,Draw at a time,opponent team penalty area,Uruguay,9/23/2002,65,Half
140,not bite,Red Card,None,Winning,his team penalty area,Uruguay,5/16/2000,42,Half
141,not bite,None,None,Winning,off field,Uruguay,10/24/2001,89,No Moon
142,not bite,Red Card,defender,Winning,off field,Uruguay,10/6/2004,23,No Moon
143,bite,Yellow card,forward,Losing,midfield,Netherlands,7/26/1998,90,No Moon
144,not bite,None,None,Winning,No location,Netherlands,12/20/2011,91,No Moon
145,bite,yellow card,referee,Losing,his team penalty area,Uruguay,6/14/2000,82,Half
146,bite,yellow card,defender,Losing,midfield,Uruguay,2/2/1995,35,Full
147,not bite,Suspended for several games,forward,Winning,opponent team penalty area,England,2/28/2014,36,Half
148,not bite,Not Caught,spectator,Draw at a time,off field,Netherlands,6/11/2008,50,Half
149,bite,Yellow card,forward,Losing,opponent team penalty area,Netherlands,11/16/1994,89,Full
150,bite,Yellow card,spectator,Draw at a time,off field,Uruguay,3/26/2003,20,Full
151,not bite,Red Card,journalist,Winning,off field,Uruguay,5/6/1993,63,Half
152,bite,Yellow card,forward,Losing,midfield,Uruguay,3/8/1998,59,Full
153,not bite,None,None,Winning,No location,Uruguay,3/26/1994,91,Half
154,bite,Not Caught,defender,Losing,midfield,England,6/11/2004,64,Full
155,not bite,Suspended for several games,referee,Draw at a time,opponent team penalty area,Uruguay,8/5/2005,49,No Moon
156,bite,yellow card,journalist,Losing,off field,Uruguay,10/26/2001,3,Half
157,bite,Yellow card,spectator,Losing,off field,Uruguay,1/16/2003,16,Half
158,not bite,None,None,Winning,No location,Netherlands,2/1/2010,91,No Moon
159,bite,yellow card,defender,Losing,midfield,Uruguay,9/2/1999,5,Full
160,not bite,Suspended for several games,forward,Losing,opponent team penalty area,Netherlands,4/17/2011,41,No Moon
161,not bite,Suspended for several games,journalist,Winning,off field,Netherlands,7/8/2007,71,Full
162,not bite,None,None,Winning,No location,Uruguay,8/17/1999,91,Half
163,not bite,Not Caught,goalkeeper,Losing,his team penalty area,Uruguay,12/7/1999,14,No Moon
164,bite,yellow card,goalkeeper,Losing,opponent team penalty area,Uruguay,3/29/2000,46,Full
165,bite,Not Caught,journalist,Losing,midfield,Netherlands,11/15/1994,90,Half
166,not bite,Red Card,referee,Losing,off field,Netherlands,12/18/2007,11,No Moon
167,not bite,None,None,Winning,No location,Netherlands,1/3/2008,91,No Moon
168,not bite,None,None,Winning,No location,Uruguay,10/13/1997,91,Half
169,bite,yellow card,midfielder,Losing,midfield,Uruguay,3/23/1996,86,No Moon
170,bite,yellow card,journalist,Losing,midfield,Uruguay,12/30/2001,32,Full
171,not bite,yellow card,None,Losing,off field,Uruguay,6/27/2005,2,No Moon
172,not bite,None,None,Winning,No location,Uruguay,11/10/1996,91,Half
173,bite,yellow card,forward,Losing,midfield,Netherlands,1/17/1998,27,Full
174,not bite,Not Caught,midfielder,Winning,his team penalty area,Uruguay,8/1/2006,78,No Moon
175,not bite,Not Caught,forward,Losing,midfield,Uruguay,6/11/1995,5,No Moon
176,not bite,yellow card,defender,Winning,opponent team penalty area,Uruguay,8/7/2003,30,Half
177,not bite,Not Caught,defender,Draw at a time,opponent team penalty area,Netherlands,11/25/2012,67,Full
178,bite,Red Card,forward,Losing,opponent team penalty area,Netherlands,4/26/2014,89,Half
179,bite,Suspended for several games,referee,Losing,off field,Uruguay,10/23/2005,38,Half
180,bite,yellow card,spectator,Losing,off field,Uruguay,12/11/1994,28,Half
181,bite,yellow card,goalkeeper,Losing,midfield,England,7/19/1998,85,No Moon
182,not bite,Suspended for several games,referee,Losing,his team penalty area,Uruguay,5/25/1997,12,No Moon
183,bite,Yellow card,defender,Draw at a time,midfield,Uruguay,1/3/1999,85,Full
184,not bite,None,journalist,Draw at a time,off field,Uruguay,5/17/1995,63,No Moon
185,not bite,Not Caught,forward,Winning,off field,England,7/24/2012,89,Full
186,bite,yellow card,spectator,Losing,off field,Netherlands,4/6/2007,37,Full
187,bite,Not Caught,referee,Draw at a time,off field,Uruguay,2/3/1995,13,Half
188,not bite,Yellow card,journalist,Winning,off field,Uruguay,4/13/2002,7,No Moon
189,not bite,Red Card,None,Losing,midfield,Uruguay,3/18/1994,34,No Moon
190,bite,Suspended for several games,None,Losing,opponent team penalty area,England,9/25/2009,75,Full
191,bite,None,referee,Losing,opponent team penalty area,Uruguay,7/23/1992,89,Half
192,not bite,None,None,Winning,No location,Uruguay,10/16/1998,91,Half
193,not bite,Suspended for several games,defender,Winning,midfield,Uruguay,7/23/2012,84,Half
194,bite,Red Card,spectator,Losing,off field,Uruguay,7/16/2004,52,Half
195,bite,Not Caught,midfielder,Losing,midfield,Netherlands,6/1/2011,53,Half
196,not bite,Yellow card,spectator,Winning,off field,Uruguay,6/29/2006,73,Full
197,not bite,None,referee,Draw at a time,off field,Uruguay,4/2/1999,41,No Moon
198,not bite,None,None,Winning,No location,Uruguay,9/29/2005,91,Half
199,not bite,Suspended for several games,forward,Winning,off field,Uruguay,4/27/2000,4,Half
200,not bite,None,None,Winning,No location,Uruguay,1/11/1996,91,Half
201,bite,Red Card,goalkeeper,Losing,opponent team penalty area,Netherlands,2/7/2009,65,Full
202,not bite,None,None,Winning,No location,Uruguay,1/3/1997,91,No Moon
203,bite,Suspended for several games,referee,Losing,off field,England,11/13/2003,21,Full
204,bite,yellow card,forward,Losing,his team penalty area,Netherlands,2/4/1999,91,No Moon
205,not bite,Yellow card,journalist,Draw at a time,off field,Uruguay,5/19/2006,86,No Moon
206,not bite,yellow card,goalkeeper,Draw at a time,off field,Uruguay,6/4/2002,57,No Moon
207,not bite,Yellow card,midfielder,Winning,off field,Netherlands,8/25/2012,5,Full
208,not bite,None,None,Winning,No location,Uruguay,7/2/1996,91,No Moon
209,bite,None,forward,Losing,off field,Uruguay,7/4/2000,21,Full
210,not bite,None,None,Winning,No location,Netherlands,3/7/2010,91,Half
211,bite,Suspended for several games,journalist,Losing,off field,Netherlands,4/21/2011,33,Full
212,bite,None,None,Losing,his team penalty area,Netherlands,5/18/2012,7,Half
213,not bite,Suspended for several games,midfielder,Winning,midfield,Netherlands,2/17/2011,34,No Moon
214,not bite,yellow card,midfielder,Winning,off field,Uruguay,2/14/2000,2,Half
215,not bite,yellow card,goalkeeper,Losing,opponent team penalty area,England,1/27/2013,85,No Moon
216,not bite,yellow card,goalkeeper,Winning,midfield,Uruguay,5/18/2006,47,Half
217,not bite,None,None,Winning,No location,Uruguay,8/20/2003,91,Half
218,bite,Yellow card,referee,Losing,off field,Uruguay,9/28/2003,27,Full
219,bite,Red Card,None,Winning,his team penalty area,Netherlands,1/17/1998,70,Full
220,not bite,Red Card,referee,Draw at a time,off field,Netherlands,7/6/2011,89,Full
221,bite,Not Caught,journalist,Losing,opponent team penalty area,Uruguay,2/18/2009,87,Full
222,not bite,None,None,Winning,No location,Uruguay,4/21/2006,91,No Moon
223,not bite,None,None,Winning,No location,Uruguay,12/4/2005,91,No Moon
224,bite,Red Card,spectator,Winning,opponent team penalty area,England,11/11/2001,41,Full
225,not bite,Not Caught,defender,Winning,off field,Netherlands,3/31/2008,39,No Moon
226,not bite,yellow card,defender,Losing,off field,Netherlands,10/12/2006,68,No Moon
227,not bite,Red Card,None,Draw at a time,midfield,Netherlands,4/19/2009,51,Full
228,not bite,Red Card,referee,Draw at a time,his team penalty area,Uruguay,4/21/1995,54,No Moon
229,not bite,None,None,Winning,No location,Uruguay,10/29/1993,91,No Moon
230,not bite,None,None,Winning,No location,Uruguay,9/30/2000,91,Half
231,not bite,None,None,Winning,No location,Uruguay,2/12/2004,91,Half
232,not bite,Yellow card,midfielder,Draw at a time,midfield,Netherlands,4/5/2012,79,No Moon
233,not bite,Yellow card,midfielder,Losing,off field,Netherlands,2/11/2008,6,No Moon
234,not bite,Yellow card,journalist,Winning,off field,Uruguay,8/20/2001,55,Half
235,not bite,Red Card,midfielder,Winning,off field,Uruguay,9/14/1997,43,No Moon
236,not bite,Yellow card,referee,Losing,his team penalty area,Uruguay,10/13/1992,67,No Moon
237,not bite,yellow card,midfielder,Draw at a time,his team penalty area,Uruguay,4/9/1996,63,No Moon
238,not bite,Red Card,goalkeeper,Winning,off field,Netherlands,3/24/2013,90,Full
239,bite,Suspended for several games,spectator,Losing,off field,Uruguay,1/10/2002,66,Full
240,not bite,None,None,Winning,No location,Uruguay,10/20/1998,91,No Moon
241,not bite,yellow card,midfielder,Winning,opponent team penalty area,Netherlands,8/7/2008,82,Half
242,bite,yellow card,journalist,Losing,off field,Netherlands,12/5/2011,60,Full
243,not bite,Suspended for several games,None,Draw at a time,midfield,Netherlands,10/11/2010,20,No Moon
244,not bite,Yellow card,spectator,Winning,off field,England,7/4/2012,67,No Moon
245,bite,Suspended for several games,forward,Losing,off field,Uruguay,6/23/1999,12,Full
246,not bite,None,None,Winning,No location,Netherlands,3/18/2008,91,Half
247,bite,yellow card,referee,Losing,No location,England,9/17/2000,53,Full
248,not bite,Yellow card,spectator,Losing,off field,Uruguay,2/24/2000,49,No Moon
249,not bite,Yellow card,journalist,Draw at a time,off field,Uruguay,1/6/1998,85,Full
250,not bite,Yellow card,defender,Losing,opponent team penalty area,Uruguay,2/2/1997,64,No Moon
251,bite,yellow card,midfielder,Losing,off field,Uruguay,8/28/2009,4,Full
252,bite,Yellow card,goalkeeper,Draw at a time,his team penalty area,Uruguay,9/17/2002,48,Full
253,bite,Suspended for several games,goalkeeper,Losing,opponent team penalty area,Netherlands,1/31/2001,84,Full
254,not bite,Red Card,referee,Winning,off field,Netherlands,1/19/2010,21,Half
255,bite,None,goalkeeper,Draw at a time,his team penalty area,Uruguay,1/12/2004,28,Full
256,not bite,Suspended for several games,journalist,Losing,off field,Netherlands,10/7/2007,18,No Moon
257,bite,Yellow card,spectator,Losing,his team penalty area,England,2/15/2012,86,Half
258,not bite,Suspended for several games,journalist,Draw at a time,off field,Netherlands,8/9/2012,22,No Moon
259,not bite,None,None,Winning,No location,Uruguay,5/23/1993,91,Half
260,not bite,yellow card,None,Draw at a time,his team penalty area,Netherlands,7/29/2009,12,No Moon
261,not bite,Yellow card,None,Losing,opponent team penalty area,Uruguay,6/26/2006,82,No Moon
262,not bite,Red Card,goalkeeper,Winning,off field,Uruguay,6/1/2000,90,Half
263,not bite,Not Caught,referee,Winning,his team penalty area,Uruguay,4/12/1995,77,Half
264,bite,Suspended for several games,defender,Losing,midfield,Uruguay,4/8/2005,82,Full
265,not bite,Suspended for several games,midfielder,Draw at a time,his team penalty area,Uruguay,8/2/2006,39,Full
266,not bite,yellow card,journalist,Draw at a time,off field,Uruguay,4/9/2003,21,No Moon
267,not bite,Suspended for several games,midfielder,Winning,midfield,Uruguay,1/21/2001,58,Half
268,not bite,None,None,Winning,No location,Uruguay,8/20/1993,91,No Moon
269,bite,None,spectator,Losing,off field,England,1/21/2013,84,Half
270,not bite,Red Card,forward,Draw at a time,off field,England,8/19/2013,53,Half
271,not bite,Suspended for several games,forward,Losing,off field,Uruguay,10/1/2009,89,No Moon
272,bite,Suspended for several games,referee,Losing,his team penalty area,Netherlands,10/13/2008,87,Full
273,not bite,Not Caught,forward,Draw at a time,off field,Uruguay,3/15/1994,43,No Moon
274,not bite,Not Caught,forward,Losing,midfield,Uruguay,3/22/2001,90,No Moon
275,not bite,None,None,Winning,No location,Uruguay,4/30/1994,91,Half
276,not bite,Not Caught,forward,Winning,opponent team penalty area,Netherlands,3/5/2010,27,No Moon
277,not bite,Not Caught,defender,Winning,his team penalty area,Netherlands,3/21/2010,56,Half
278,not bite,None,goalkeeper,Losing,midfield,Netherlands,9/22/2006,61,No Moon
279,not bite,Red Card,None,Draw at a time,off field,England,6/7/2012,49,Half
280,bite,Not Caught,None,Losing,off field,Uruguay,5/11/2003,87,Full
281,not bite,None,goalkeeper,Winning,his team penalty area,Uruguay,1/5/2006,19,Half
282,not bite,yellow card,midfielder,Draw at a time,opponent team penalty area,Uruguay,3/4/2002,90,No Moon
283,not bite,None,journalist,Winning,off field,Uruguay,7/16/2001,67,Half
284,not bite,Red Card,midfielder,Winning,opponent team penalty area,Uruguay,4/10/2006,74,No Moon
285,not bite,Yellow card,journalist,Winning,off field,Netherlands,5/8/2011,64,Half
286,not bite,yellow card,goalkeeper,Winning,opponent team penalty area,Uruguay,7/5/2004,89,Half
287,not bite,Not Caught,spectator,Winning,off field,Netherlands,11/21/2007,22,Half
288,not bite,Suspended for several games,referee,Winning,his team penalty area,Uruguay,4/7/2003,86,No Moon
289,bite,Not Caught,referee,Draw at a time,opponent team penalty area,England,3/2/2014,82,Half
290,bite,Suspended for several games,midfielder,Losing,off field,Uruguay,2/24/2006,43,Half
291,bite,yellow card,journalist,Losing,off field,Netherlands,1/22/2010,66,Half
292,bite,Red Card,None,Winning,his team penalty area,England,1/3/1997,1,Full
293,not bite,None,None,Winning,No location,Netherlands,6/16/2009,91,No Moon
294,bite,Suspended for several games,midfielder,Losing,off field,Netherlands,12/4/2009,77,Full
295,bite,Yellow card,forward,Losing,midfield,Uruguay,11/7/1995,54,Full
296,not bite,Not Caught,midfielder,Draw at a time,his team penalty area,Netherlands,3/11/2009,2,Half
297,bite,None,forward,Winning,No location,Netherlands,2/10/1994,53,Full
298,not bite,Not Caught,spectator,Winning,off field,Uruguay,5/10/1999,75,Full
299,not bite,Red Card,None,Losing,opponent team penalty area,Uruguay,9/21/1993,5,No Moon
300,bite,Suspended for several games,forward,Losing,midfield,Netherlands,8/16/2009,48,Full
301,not bite,Not Caught,spectator,Winning,off field,Netherlands,3/1/2014,69,No Moon
302,not bite,Suspended for several games,spectator,Draw at a time,off field,Netherlands,1/17/2012,9,Full
303,not bite,None,None,Winning,his team penalty area,Netherlands,6/2/2008,37,Half
304,bite,Suspended for several games,spectator,Losing,off field,Uruguay,7/1/2003,67,Half
305,not bite,Suspended for several games,forward,Losing,opponent team penalty area,Uruguay,1/1/1997,60,No Moon
306,bite,Red Card,journalist,Losing,off field,Netherlands,1/2/2011,5,Half
307,not bite,None,defender,Draw at a time,his team penalty area,Netherlands,11/2/2007,86,No Moon
308,not bite,yellow card,journalist,Winning,off field,Uruguay,5/15/2002,25,No Moon
309,not bite,Yellow card,defender,Winning,opponent team penalty area,Netherlands,9/20/2009,89,No Moon
310,not bite,Suspended for several games,referee,Losing,his team penalty area,Netherlands,7/31/2008,30,No Moon
311,not bite,yellow card,midfielder,Winning,his team penalty area,Uruguay,5/15/1997,79,No Moon
312,not bite,Not Caught,None,Draw at a time,his team penalty area,Netherlands,7/9/2007,42,Full
313,not bite,Yellow card,defender,Draw at a time,midfield,Netherlands,4/14/2012,42,Half
314,not bite,Yellow card,goalkeeper,Winning,off field,Uruguay,2/9/1994,26,No Moon
315,bite,Red Card,spectator,Draw at a time,opponent team penalty area,England,2/18/2009,66,Full
316,not bite,yellow card,spectator,Draw at a time,off field,Uruguay,5/31/2003,6,Half
317,bite,Yellow card,None,Winning,opponent team penalty area,Netherlands,1/7/2013,43,Full
318,not bite,Not Caught,referee,Winning,midfield,Uruguay,1/19/2001,81,No Moon
319,not bite,None,journalist,Draw at a time,off field,Uruguay,7/26/2013,30,No Moon
320,bite,Yellow card,referee,Losing,opponent team penalty area,Uruguay,12/7/2003,64,Half
321,not bite,None,None,Winning,No location,Netherlands,12/9/2008,91,Half
322,bite,Yellow card,midfielder,Losing,No location,England,11/2/1994,18,Full
323,not bite,Yellow card,goalkeeper,Draw at a time,off field,Uruguay,4/3/2006,78,Full
324,not bite,Red Card,midfielder,Winning,his team penalty area,Uruguay,10/9/1996,39,Half
325,bite,yellow card,referee,Losing,his team penalty area,Uruguay,5/6/1993,87,Full
326,not bite,Red Card,goalkeeper,Draw at a time,off field,Uruguay,3/19/2004,52,Half
327,bite,None,defender,Draw at a time,opponent team penalty area,Netherlands,12/9/2007,85,Half
